treatment,outcome,ATE,SE,t_stat,p_value,CI_lower,CI_upper
cdr3_len,rf2_passed,-0.14409748955397084,0.0,0.0,0.0,0.0,0.0
cdr3_len,rf2_interaction_pae,0.9107263047211984,0.007417249962094843,122.78490132803658,0.0,0.8961884947954926,0.9252641146469043
positive_ratio,rf2_interaction_pae,-0.5159191659481119,0.5009003332773362,-1.0299836747412587,0.3030412409678691,-1.4976838191716908,0.46584548727546693
aromatic_ratio,rf2_interaction_pae,5.032074453580082,0.36378828308509376,13.832425857440352,0.0,4.319049418733298,5.745099488426865
glycine_ratio,rf2_interaction_pae,5.411751884798217,0.37937400967243107,14.264951596106892,0.0,4.6681788258402515,6.155324943756182
serine_ratio,rf2_interaction_pae,0.39561244171936194,0.35113744771485245,1.1266597860579832,0.2599119330379702,-0.29261695580174885,1.0838418392404727
proline_count,rf2_passed,0.02502347947979313,0.0,0.0,0.0,0.0,0.0
proline_count,rf2_interaction_pae,-0.08077777924941237,0.06885022885682472,-1.1732390812729352,0.24072638611250774,-0.21572422780878883,0.054168669309964085
first_is_aromatic,rf2_interaction_pae,-4.687243278984924,0.1269921740957101,-36.909701817155224,0.0,-4.936147940212515,-4.438338617757332
last_is_YH,rf2_interaction_pae,1.2971737732322115,0.105534708104336,12.291442280294854,0.0,1.0903257453477129,1.5040218011167101
